tail,bribe,guard,smuggler
tail,tame,horse,trainer
tail,orphan,child,war
tail,gag,prisoner,guard
tail,approximate,value,scientist
tail,awe,crowd,magician
tail,utter,word,speaker
tail,trademark,logo,company
tail,dope,horse,trainer
tail,refund,fee,clerk
tail,spice,soup,chef
tail,audit,account,auditor
tail,duck,question,politician
tail,rear,child,guardian
tail,forest,hill,community
xtail,discomfit,politician,reporter
xtail,overawe,recruit,commander
xtail,purloin,necklace,thief
xtail,efface,inscription,vandal
xtail,abase,prisoner,guard
xtail,despoil,village,raider
xtail,unlatch,gate,caretaker
xtail,extirpate,weed,gardener
xtail,supplicate,deity,petitioner
xtail,overemphasize,detail,editor
xtail,superintend,project,manager
xtail,tantalize,diner,chef
xtail,disgorge,cargo,ship
xtail,disembowel,pig,butcher
xtail,explicate,theorem,lecturer
xtail,titillate,reader,author
xtail,edify,student,teacher
xtail,filch,wallet,pickpocket
xtail,decontaminate,laboratory,technician
xtail,disabuse,student,teacher
xtail,slake,thirst,drink
xtail,pilfer,coin,thief
xtail,satirize,policy,comedian
xtail,shoplift,shirt,teenager
xtail,doff,hat,gentleman
xtail,obviate,need,innovation
xtail,deforest,valley,company
xtail,immolate,prisoner,priest
xtail,reprove,student,teacher
xtail,pigeonhole,applicant,recruiter
xtail,lather,face,barber
xtail,placate,crowd,mayor
xtail,shoo,pigeon,child
xtail,debug,program,engineer
xtail,resupply,platoon,quartermaster
xtail,tithe,harvest,farmer
xtail,mulch,garden,gardener
xtail,reproach,student,teacher
xtail,lard,roast,cook
xtail,gull,tourist,conman
xtail,wag,tail,dog
xtail,mistrust,colleague,supervisor
xtail,wad,paper,child
xtail,lug,suitcase,porter
xtail,stopper,bottle,winemaker
xtail,perm,hair,stylist
xtail,redress,grievance,judge
xtail,clout,opponent,boxer
xtail,garland,bride,florist
xtail,crate,vase,mover
xtail,rearm,militia,government
xtail,blaspheme,deity,heretic
xtail,daub,wall,painter
xtail,guzzle,beer,sailor
xtail,enunciate,word,speaker
xtail,cajole,colleague,manager
xtail,swaddle,baby,nurse
xtail,regale,guest,host
xtail,blab,secret,child
xtail,espy,ship,sailor
xtail,suckle,calf,cow
xtail,prise,lid,mechanic
xtail,sunder,alliance,war
xtail,disquiet,family,news
xtail,outshine,rival,dancer
xtail,shellac,cabinet,carpenter
xtail,knead,dough,baker
xtail,demean,colleague,supervisor
xtail,incriminate,suspect,witness
xtail,readjust,strap,hiker
xtail,recompense,worker,employer
xtail,wallop,boxer,opponent
xtail,ogle,model,spectator
xtail,recollect,event,witness
xtail,lop,branch,gardener
xtail,heft,stone,athlete
