pair_id,band,paradigm,frame_id,patient,agent,prefix,suffix,good_lemma,bad_lemma,good_verb,bad_verb,bad_active_class,good_lemma_zipf,bad_lemma_zipf,good_form_zipf,bad_form_zipf,lemma_zipf_gap,form_zipf_gap,both_lemmas_in_band,sentence_good,sentence_bad,good_whole_lp,good_verb_lp,good_suffix_lp,good_by_lp,good_n_scored_tokens,good_verb_tokens,bad_whole_lp,bad_verb_lp,bad_suffix_lp,bad_by_lp,bad_n_scored_tokens,bad_verb_tokens,whole_margin,verb_margin,suffix_margin,by_margin,correct
head/passive_2/impose/was,head,passive_2,was,fine,,The fine was ,.,impose,emerge,imposed,emerged,simple_intransitive,3.92,3.89,4.16,4.16,0.029999999999999805,0.0,1,The fine was imposed.,The fine was emerged.,-22.14846897125244,-4.3700408935546875,-5.070870876312256,0.0,4,1,-32.08784484863281,-15.661056518554688,-3.719231128692627,0.0,4,1,9.939375877380371,11.291015625,-1.351639747619629,0.0,1
head/passive_2/impose/had_been,head,passive_2,had_been,fine,,The fine had been ,.,impose,emerge,imposed,emerged,simple_intransitive,3.92,3.89,4.16,4.16,0.029999999999999805,0.0,1,The fine had been imposed.,The fine had been emerged.,-24.44271022081375,-4.1562933921813965,-4.224820137023926,0.0,5,1,-34.022328197956085,-14.687543869018555,-3.2731876373291016,0.0,5,1,9.579617977142334,10.531250476837158,-0.9516324996948242,0.0,1
head/passive_1/lend/was,head,passive_1,was,book,librarian,The book was , by the librarian.,lend,opt,lent,opted,optional_preposition,3.92,3.9,3.75,3.75,0.020000000000000018,0.0,1,The book was lent by the librarian.,The book was opted by the librarian.,-31.533127054572105,-8.79008674621582,-12.632443651556969,-2.7091751098632812,8,1,-40.199657678604126,-14.10258674621582,-15.98647427558899,-2.8264858722686768,8,1,8.66653062403202,5.3125,3.3540306240320206,0.11731076240539551,1
head/passive_1/lend/had_been,head,passive_1,had_been,book,librarian,The book had been , by the librarian.,lend,opt,lent,opted,optional_preposition,3.92,3.9,3.75,3.75,0.020000000000000018,0.0,1,The book had been lent by the librarian.,The book had been opted by the librarian.,-31.982020169496536,-6.572702407836914,-11.944910913705826,-2.613147735595703,9,1,-43.83100983500481,-14.439889907836914,-15.926713079214096,-3.359339475631714,9,1,11.84898966550827,7.8671875,3.9818021655082703,0.7461917400360107,1
head/passive_2/lend/was,head,passive_2,was,book,,The book was ,.,lend,opt,lent,opted,optional_preposition,3.92,3.9,3.75,3.75,0.020000000000000018,0.0,1,The book was lent.,The book was opted.,-26.609858512878418,-8.79008674621582,-7.709175109863281,0.0,4,1,-30.539669036865234,-14.10258674621582,-6.326485633850098,0.0,4,1,3.9298105239868164,5.3125,-1.3826894760131836,0.0,1
head/passive_2/lend/had_been,head,passive_2,had_been,book,,The book had been ,.,lend,opt,lent,opted,optional_preposition,3.92,3.9,3.75,3.75,0.020000000000000018,0.0,1,The book had been lent.,The book had been opted.,-26.212756991386414,-6.572702407836914,-6.175647735595703,0.0,5,1,-34.076135993003845,-14.439889907836914,-6.171839237213135,0.0,5,1,7.863379001617432,7.8671875,-0.0038084983825683594,0.0,1
head/passive_1/exhibit/was,head,passive_1,was,painting,museum,The painting was , by the museum.,exhibit,proceed,exhibited,proceeded,simple_intransitive,4.16,4.18,3.86,3.87,-0.019999999999999574,-0.010000000000000231,1,The painting was exhibited by the museum.,The painting was proceeded by the museum.,-29.28729808330536,-3.980689287185669,-13.710224032402039,-3.6057558059692383,7,1,-39.427350878715515,-12.80881404876709,-15.022152066230774,-1.3835647106170654,7,1,10.140052795410156,8.828124761581421,1.3119280338287354,-2.222191095352173,1
head/passive_1/exhibit/had_been,head,passive_1,had_been,painting,museum,The painting had been , by the museum.,exhibit,proceed,exhibited,proceeded,simple_intransitive,4.16,4.18,3.86,3.87,-0.019999999999999574,-0.010000000000000231,1,The painting had been exhibited by the museum.,The painting had been proceeded by the museum.,-31.862778186798096,-4.703920364379883,-12.615795135498047,-3.6325364112854004,8,1,-43.032376170158386,-13.219545364379883,-15.269768118858337,-1.6518263816833496,8,1,11.16959798336029,8.515625,2.6539729833602905,-1.9807100296020508,1
head/passive_2/exhibit/was,head,passive_2,was,painting,,The painting was ,.,exhibit,proceed,exhibited,proceeded,simple_intransitive,4.16,4.18,3.86,3.87,-0.019999999999999574,-0.010000000000000231,1,The painting was exhibited.,The painting was proceeded.,-23.49532985687256,-3.980689287185669,-7.918255805969238,0.0,4,1,-28.601263761520386,-12.80881404876709,-4.1960649490356445,0.0,4,1,5.105933904647827,8.828124761581421,-3.7221908569335938,0.0,1
head/passive_2/exhibit/had_been,head,passive_2,had_been,painting,,The painting had been ,.,exhibit,proceed,exhibited,proceeded,simple_intransitive,4.16,4.18,3.86,3.87,-0.019999999999999574,-0.010000000000000231,1,The painting had been exhibited.,The painting had been proceeded.,-25.31701946258545,-4.703920364379883,-6.0700364112854,0.0,5,1,-32.4144344329834,-13.219545364379883,-4.65182638168335,0.0,5,1,7.097414970397949,8.515625,-1.4182100296020508,0.0,1
head/passive_1/lease/was,head,passive_1,was,apartment,landlord,The apartment was , by the landlord.,lease,apologize,leased,apologized,optional_preposition,4.17,4.16,3.62,3.63,0.009999999999999787,-0.009999999999999787,1,The apartment was leased by the landlord.,The apartment was apologized by the landlord.,-29.659836530685425,-8.132704734802246,-9.824752688407898,-0.8783761262893677,7,1,-38.79993087053299,-15.101454734802246,-11.996097028255463,-6.109686374664307,7,1,9.140094339847565,6.96875,2.1713443398475647,5.231310248374939,1
head/passive_1/lease/had_been,head,passive_1,had_been,apartment,landlord,The apartment had been , by the landlord.,lease,apologize,leased,apologized,optional_preposition,4.17,4.16,3.62,3.63,0.009999999999999787,-0.009999999999999787,1,The apartment had been leased by the landlord.,The apartment had been apologized by the landlord.,-30.88536787033081,-5.570948600769043,-10.947896361351013,-1.0567411184310913,8,1,-42.9940031170845,-15.410792350769043,-13.216687858104706,-7.0212626457214355,8,1,12.108635246753693,9.83984375,2.2687914967536926,5.964521527290344,1
head/passive_2/lease/was,head,passive_2,was,apartment,,The apartment was ,.,lease,apologize,leased,apologized,optional_preposition,4.17,4.16,3.62,3.63,0.009999999999999787,-0.009999999999999787,1,The apartment was leased.,The apartment was apologized.,-23.963459849357605,-8.132704734802246,-4.128376007080078,0.0,4,1,-32.35102021694183,-15.101454734802246,-5.547186374664307,0.0,4,1,8.387560367584229,6.96875,1.4188103675842285,0.0,1
head/passive_2/lease/had_been,head,passive_2,had_been,apartment,,The apartment had been ,.,lease,apologize,leased,apologized,optional_preposition,4.17,4.16,3.62,3.63,0.009999999999999787,-0.009999999999999787,1,The apartment had been leased.,The apartment had been apologized.,-25.181712746620178,-5.570948600769043,-5.244241237640381,0.0,5,1,-36.42357790470123,-15.410792350769043,-6.6462626457214355,0.0,5,1,11.241865158081055,9.83984375,1.4020214080810547,0.0,1
head/passive_1/upgrade/was,head,passive_1,was,software,engineer,The software was , by the engineer.,upgrade,complain,upgraded,complained,simple_intransitive,4.24,4.23,3.93,3.99,0.009999999999999787,-0.06000000000000005,1,The software was upgraded by the engineer.,The software was complained by the engineer.,-34.44347095489502,-6.991390228271484,-16.24614429473877,-3.8179409503936768,7,1,-38.33312177658081,-13.741390228271484,-13.38579511642456,-2.7188448905944824,7,1,3.889650821685791,6.75,-2.860349178314209,-1.0990960597991943,1
head/passive_1/upgrade/had_been,head,passive_1,had_been,software,engineer,The software had been , by the engineer.,upgrade,complain,upgraded,complained,simple_intransitive,4.24,4.23,3.93,3.99,0.009999999999999787,-0.06000000000000005,1,The software had been upgraded by the engineer.,The software had been complained by the engineer.,-37.394776344299316,-5.512853622436523,-15.107219338417053,-3.883211612701416,8,1,-46.03872764110565,-13.028478622436523,-16.23554563522339,-4.862290859222412,8,1,8.643951296806335,7.515625,1.1283262968063354,0.9790792465209961,1
head/passive_2/upgrade/was,head,passive_2,was,software,,The software was ,.,upgrade,complain,upgraded,complained,simple_intransitive,4.24,4.23,3.93,3.99,0.009999999999999787,-0.06000000000000005,1,The software was upgraded.,The software was complained.,-22.702767372131348,-6.991390228271484,-4.505440711975098,0.0,4,1,-29.728671550750732,-13.741390228271484,-4.781344890594482,0.0,4,1,7.025904178619385,6.75,0.27590417861938477,0.0,1
head/passive_2/upgrade/had_been,head,passive_2,had_been,software,,The software had been ,.,upgrade,complain,upgraded,complained,simple_intransitive,4.24,4.23,3.93,3.99,0.009999999999999787,-0.06000000000000005,1,The software had been upgraded.,The software had been complained.,-25.42076861858368,-5.512853622436523,-3.133211612701416,0.0,5,1,-36.790472865104675,-13.028478622436523,-6.987290859222412,0.0,5,1,11.369704246520996,7.515625,3.854079246520996,0.0,1
head/passive_1/sum/was,head,passive_1,was,amount,accountant,The amount was , by the accountant.,sum,compete,summed,competed,simple_intransitive,4.34,4.39,3.57,3.51,-0.04999999999999982,0.06000000000000005,1,The amount was summed by the accountant.,The amount was competed by the accountant.,-41.56643605232239,-10.407100677490234,-17.881684064865112,-3.356473207473755,7,1,-43.05287504196167,-13.032100677490234,-16.743123054504395,-1.8124361038208008,7,1,1.4864389896392822,2.625,-1.1385610103607178,-1.544037103652954,1
head/passive_1/sum/had_been,head,passive_1,had_been,amount,accountant,The amount had been , by the accountant.,sum,compete,summed,competed,simple_intransitive,4.34,4.39,3.57,3.51,-0.04999999999999982,0.06000000000000005,1,The amount had been summed by the accountant.,The amount had been competed by the accountant.,-42.25552546977997,-10.572916030883789,-14.168053150177002,-4.128422737121582,8,1,-46.20944333076477,-12.682291030883789,-16.012596011161804,-2.149991035461426,8,1,3.9539178609848022,2.109375,1.8445428609848022,-1.9784317016601562,1
head/passive_2/sum/was,head,passive_2,was,amount,,The amount was ,.,sum,compete,summed,competed,simple_intransitive,4.34,4.39,3.57,3.51,-0.04999999999999982,0.06000000000000005,1,The amount was summed.,The amount was competed.,-28.66622495651245,-10.407100677490234,-4.981472969055176,0.0,4,1,-30.309688091278076,-13.032100677490234,-3.999936103820801,0.0,4,1,1.643463134765625,2.625,-0.981536865234375,0.0,1
head/passive_2/sum/had_been,head,passive_2,had_been,amount,,The amount had been ,.,sum,compete,summed,competed,simple_intransitive,4.34,4.39,3.57,3.51,-0.04999999999999982,0.06000000000000005,1,The amount had been summed.,The amount had been competed.,-33.77839505672455,-10.572916030883789,-5.690922737121582,0.0,5,1,-34.03433835506439,-12.682291030883789,-3.837491035461426,0.0,5,1,0.25594329833984375,2.109375,-1.8534317016601562,0.0,1
head/passive_1/rob/was,head,passive_1,was,bank,thief,The bank was , by the thief.,rob,belong,robbed,belonged,preferred_preposition,4.35,4.38,3.88,4.01,-0.03000000000000025,-0.1299999999999999,1,The bank was robbed by the thief.,The bank was belonged by the thief.,-30.870970010757446,-6.193403244018555,-12.972794771194458,-2.3357081413269043,7,1,-43.37488341331482,-15.044965744018555,-16.62514567375183,-3.1149580478668213,7,1,12.503913402557373,8.8515625,3.652350902557373,0.779249906539917,1
head/passive_1/rob/had_been,head,passive_1,had_been,bank,thief,The bank had been , by the thief.,rob,belong,robbed,belonged,preferred_preposition,4.35,4.38,3.88,4.01,-0.03000000000000025,-0.1299999999999999,1,The bank had been robbed by the thief.,The bank had been belonged by the thief.,-32.21721410751343,-5.1729583740234375,-12.60671591758728,-2.321575880050659,8,1,-45.886030435562134,-15.613388061523438,-15.835102558135986,-2.6596646308898926,8,1,13.668816328048706,10.4404296875,3.228386640548706,0.3380887508392334,1
head/passive_2/rob/was,head,passive_2,was,bank,,The bank was ,.,rob,belong,robbed,belonged,preferred_preposition,4.35,4.38,3.88,4.01,-0.03000000000000025,-0.1299999999999999,1,The bank was robbed.,The bank was belonged.,-20.983883380889893,-6.193403244018555,-3.0857081413269043,0.0,4,1,-32.61469602584839,-15.044965744018555,-5.8649582862854,0.0,4,1,11.630812644958496,8.8515625,2.779250144958496,0.0,1
head/passive_2/rob/had_been,head,passive_2,had_been,bank,,The bank had been ,.,rob,belong,robbed,belonged,preferred_preposition,4.35,4.38,3.88,4.01,-0.03000000000000025,-0.1299999999999999,1,The bank had been robbed.,The bank had been belonged.,-21.932074069976807,-5.1729583740234375,-2.321575880050659,0.0,5,1,-36.02309250831604,-15.613388061523438,-5.972164630889893,0.0,5,1,14.091018438339233,10.4404296875,3.6505887508392334,0.0,1
head/passive_1/introduce/was,head,passive_1,was,guest,host,The guest was , by the host.,introduce,arrive,introduced,arrived,simple_intransitive,4.37,4.38,4.72,4.79,-0.009999999999999787,-0.07000000000000028,1,The guest was introduced by the host.,The guest was arrived by the host.,-27.039153814315796,-5.329083442687988,-8.713599920272827,-2.3489797115325928,7,1,-35.122512102127075,-10.047833442687988,-12.078208208084106,-4.036131858825684,7,1,8.08335828781128,4.71875,3.3646082878112793,1.6871521472930908,1
head/passive_1/introduce/had_been,head,passive_1,had_been,guest,host,The guest had been , by the host.,introduce,arrive,introduced,arrived,simple_intransitive,4.37,4.38,4.72,4.79,-0.009999999999999787,-0.07000000000000028,1,The guest had been introduced by the host.,The guest had been arrived by the host.,-31.18922448158264,-5.79598331451416,-9.453616380691528,-2.914670467376709,8,1,-37.60292935371399,-9.60848331451416,-12.054821252822876,-3.303074359893799,8,1,6.413704872131348,3.8125,2.6012048721313477,0.38840389251708984,1
head/passive_2/introduce/was,head,passive_2,was,guest,,The guest was ,.,introduce,arrive,introduced,arrived,simple_intransitive,4.37,4.38,4.72,4.79,-0.009999999999999787,-0.07000000000000028,1,The guest was introduced.,The guest was arrived.,-21.92453360557556,-5.329083442687988,-3.5989797115325928,0.0,4,1,-25.080435752868652,-10.047833442687988,-2.0361318588256836,0.0,4,1,3.155902147293091,4.71875,-1.5628478527069092,0.0,1
head/passive_2/introduce/had_been,head,passive_2,had_been,guest,,The guest had been ,.,introduce,arrive,introduced,arrived,simple_intransitive,4.37,4.38,4.72,4.79,-0.009999999999999787,-0.07000000000000028,1,The guest had been introduced.,The guest had been arrived.,-25.837778568267822,-5.79598331451416,-4.102170467376709,0.0,5,1,-27.5386825799942,-9.60848331451416,-1.9905744791030884,0.0,5,1,1.7009040117263794,3.8125,-2.1115959882736206,0.0,1
head/passive_1/defend/was,head,passive_1,was,city,soldier,The city was , by the soldier.,defend,participate,defended,participated,optional_preposition,4.47,4.42,4.0,4.01,0.04999999999999982,-0.009999999999999787,1,The city was defended by the soldier.,The city was participated by the soldier.,-34.75425899028778,-8.329599380493164,-16.15657079219818,-0.5647373199462891,7,1,-41.54799461364746,-13.079599380493164,-18.20030641555786,-1.7805306911468506,7,1,6.79373562335968,4.75,2.04373562335968,1.2157933712005615,1
head/passive_1/defend/had_been,head,passive_1,had_been,city,soldier,The city had been , by the soldier.,defend,participate,defended,participated,optional_preposition,4.47,4.42,4.0,4.01,0.04999999999999982,-0.009999999999999787,1,The city had been defended by the soldier.,The city had been participated by the soldier.,-37.466812312603,-9.129546165466309,-15.395919978618622,-0.7606881260871887,8,1,-45.77662134170532,-14.231108665466309,-18.604166507720947,-3.199744701385498,8,1,8.309809029102325,5.1015625,3.2082465291023254,2.4390565752983093,1
head/passive_2/defend/was,head,passive_2,was,city,,The city was ,.,defend,participate,defended,participated,optional_preposition,4.47,4.42,4.0,4.01,0.04999999999999982,-0.009999999999999787,1,The city was defended.,The city was participated.,-23.22492551803589,-8.329599380493164,-4.627237319946289,0.0,4,1,-29.62821865081787,-13.079599380493164,-6.2805304527282715,0.0,4,1,6.403293132781982,4.75,1.6532931327819824,0.0,1
head/passive_2/defend/had_been,head,passive_2,had_been,city,,The city had been ,.,defend,participate,defended,participated,optional_preposition,4.47,4.42,4.0,4.01,0.04999999999999982,-0.009999999999999787,1,The city had been defended.,The city had been participated.,-26.206580638885498,-9.129546165466309,-4.135688304901123,0.0,5,1,-33.80969953536987,-14.231108665466309,-6.637244701385498,0.0,5,1,7.603118896484375,5.1015625,2.501556396484375,0.0,1
head/passive_1/earn/was,head,passive_1,was,prize,student,The prize was , by the student.,earn,occur,earned,occurred,simple_intransitive,4.48,4.47,4.55,4.57,0.010000000000000675,-0.020000000000000462,1,The prize was earned by the student.,The prize was occurred by the student.,-33.304760694503784,-6.6558427810668945,-13.700576066970825,-0.7127852439880371,7,1,-45.19315481185913,-15.798420906066895,-16.446392059326172,-3.557178258895874,7,1,11.888394117355347,9.142578125,2.7458159923553467,2.844393014907837,1
head/passive_1/earn/had_been,head,passive_1,had_been,prize,student,The prize had been , by the student.,earn,occur,earned,occurred,simple_intransitive,4.48,4.47,4.55,4.57,0.010000000000000675,-0.020000000000000462,1,The prize had been earned by the student.,The prize had been occurred by the student.,-36.587146162986755,-5.726041316986084,-13.905000805854797,-1.3862229585647583,8,1,-48.95109415054321,-15.911588668823242,-16.083401441574097,-3.0712172985076904,8,1,12.363947987556458,10.185547351837158,2.1784006357192993,1.6849943399429321,1
head/passive_2/earn/was,head,passive_2,was,prize,,The prize was ,.,earn,occur,earned,occurred,simple_intransitive,4.48,4.47,4.55,4.57,0.010000000000000675,-0.020000000000000462,1,The prize was earned.,The prize was occurred.,-24.504469871520996,-6.6558427810668945,-4.900285243988037,0.0,4,1,-33.17894124984741,-15.798420906066895,-4.432178497314453,0.0,4,1,8.674471378326416,9.142578125,-0.468106746673584,0.0,1
head/passive_2/earn/had_been,head,passive_2,had_been,prize,,The prize had been ,.,earn,occur,earned,occurred,simple_intransitive,4.48,4.47,4.55,4.57,0.010000000000000675,-0.020000000000000462,1,The prize had been earned.,The prize had been occurred.,-24.568368315696716,-5.726041316986084,-1.8862229585647583,0.0,5,1,-35.62641000747681,-15.911588668823242,-2.7587172985076904,0.0,5,1,11.05804169178009,10.185547351837158,0.8724943399429321,0.0,1
head/passive_1/celebrate/was,head,passive_1,was,victory,team,The victory was , by the team.,celebrate,reply,celebrated,replied,optional_preposition,4.49,4.5,4.24,4.28,-0.009999999999999787,-0.040000000000000036,1,The victory was celebrated by the team.,The victory was replied by the team.,-28.203960061073303,-4.859844207763672,-11.919890403747559,-1.1072845458984375,7,1,-39.76234471797943,-14.020000457763672,-14.318118810653687,-1.509951114654541,7,1,11.558384656906128,9.16015625,2.398228406906128,0.4026665687561035,1
head/passive_1/celebrate/had_been,head,passive_1,had_been,victory,team,The victory had been , by the team.,celebrate,reply,celebrated,replied,optional_preposition,4.49,4.5,4.24,4.28,-0.009999999999999787,-0.040000000000000036,1,The victory had been celebrated by the team.,The victory had been replied by the team.,-33.584801197052,-5.810622215270996,-12.31956934928894,-1.5162080526351929,8,1,-47.22340190410614,-14.416090965270996,-17.35270130634308,-2.8648018836975098,8,1,13.638600707054138,8.60546875,5.033131957054138,1.348593831062317,1
head/passive_2/celebrate/was,head,passive_2,was,victory,,The victory was ,.,celebrate,reply,celebrated,replied,optional_preposition,4.49,4.5,4.24,4.28,-0.009999999999999787,-0.040000000000000036,1,The victory was celebrated.,The victory was replied.,-22.391354203224182,-4.859844207763672,-6.1072845458984375,0.0,4,1,-32.391677021980286,-14.020000457763672,-6.947451114654541,0.0,4,1,10.000322818756104,9.16015625,0.8401665687561035,0.0,1
head/passive_2/celebrate/had_been,head,passive_2,had_been,victory,,The victory had been ,.,celebrate,reply,celebrated,replied,optional_preposition,4.49,4.5,4.24,4.28,-0.009999999999999787,-0.040000000000000036,1,The victory had been celebrated.,The victory had been replied.,-25.781440019607544,-5.810622215270996,-4.516208171844482,0.0,5,1,-36.61050248146057,-14.416090965270996,-6.73980188369751,0.0,5,1,10.829062461853027,8.60546875,2.2235937118530273,0.0,1
head/passive_1/crown/was,head,passive_1,was,king,priest,The king was , by the priest.,crown,object,crowned,objected,optional_preposition,4.56,4.56,3.65,3.5,0.0,0.1499999999999999,1,The king was crowned by the priest.,The king was objected by the priest.,-28.525044202804565,-5.994973182678223,-11.484165668487549,-3.087334156036377,7,1,-36.81029212474823,-13.541848182678223,-12.222538590431213,-2.7095093727111816,7,1,8.285247921943665,7.546875,0.7383729219436646,-0.3778247833251953,1
head/passive_1/crown/had_been,head,passive_1,had_been,king,priest,The king had been , by the priest.,crown,object,crowned,objected,optional_preposition,4.56,4.56,3.65,3.5,0.0,0.1499999999999999,1,The king had been crowned by the priest.,The king had been objected by the priest.,-31.25616192817688,-6.192835807800293,-11.139780759811401,-2.5843324661254883,8,1,-41.495816707611084,-13.599085807800293,-13.973185539245605,-4.013347625732422,8,1,10.239654779434204,7.40625,2.833404779434204,1.4290151596069336,1
head/passive_2/crown/was,head,passive_2,was,king,,The king was ,.,crown,object,crowned,objected,optional_preposition,4.56,4.56,3.65,3.5,0.0,0.1499999999999999,1,The king was crowned.,The king was objected.,-20.190712690353394,-5.994973182678223,-3.149834156036377,0.0,4,1,-28.7972629070282,-13.541848182678223,-4.209509372711182,0.0,4,1,8.606550216674805,7.546875,1.0596752166748047,0.0,1
head/passive_2/crown/had_been,head,passive_2,had_been,king,,The king had been ,.,crown,object,crowned,objected,optional_preposition,4.56,4.56,3.65,3.5,0.0,0.1499999999999999,1,The king had been crowned.,The king had been objected.,-23.388213634490967,-6.192835807800293,-3.2718324661254883,0.0,5,1,-33.1609787940979,-13.599085807800293,-5.638347625732422,0.0,5,1,9.772765159606934,7.40625,2.3665151596069336,0.0,1
head/passive_1/load/was,head,passive_1,was,truck,worker,The truck was , by the worker.,load,respond,loaded,responded,optional_preposition,4.58,4.53,4.25,4.26,0.04999999999999982,-0.009999999999999787,1,The truck was loaded by the worker.,The truck was responded by the worker.,-34.17263913154602,-3.906801462173462,-18.512174606323242,-4.991040229797363,7,1,-39.683228492736816,-11.125551223754883,-16.804014205932617,-3.1761252880096436,7,1,5.510589361190796,7.218749761581421,-1.708160400390625,-1.8149149417877197,1
head/passive_1/load/had_been,head,passive_1,had_been,truck,worker,The truck had been , by the worker.,load,respond,loaded,responded,optional_preposition,4.58,4.53,4.25,4.26,0.04999999999999982,-0.009999999999999787,1,The truck had been loaded by the worker.,The truck had been responded by the worker.,-36.21477234363556,-4.450728893280029,-17.24507713317871,-3.8769164085388184,8,1,-45.82531034946442,-12.591354370117188,-18.71498966217041,-4.504848957061768,8,1,9.610538005828857,8.140625476837158,1.4699125289916992,0.6279325485229492,1
head/passive_2/load/was,head,passive_2,was,truck,,The truck was ,.,load,respond,loaded,responded,optional_preposition,4.58,4.53,4.25,4.26,0.04999999999999982,-0.009999999999999787,1,The truck was loaded.,The truck was responded.,-19.52650499343872,-3.906801462173462,-3.8660404682159424,0.0,4,1,-28.867839813232422,-11.125551223754883,-5.988625526428223,0.0,4,1,9.341334819793701,7.218749761581421,2.1225850582122803,0.0,1
