pair_key,regime,subtask,template_id,context_id,subject,subject_class,good_row_id,bad_row_id,good_verb,bad_verb,good_source_zipf,bad_source_zipf,good_source_zipf_regime,bad_source_zipf_regime,good_inventory_source,bad_inventory_source,frame_continuation,whole_pair_object,good_sentence,bad_sentence,good_prompt,bad_prompt,good_anchor_token_index,bad_anchor_token_index,good_sentence_logprob,bad_sentence_logprob,good_minus_bad_lp,good_preferred
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|10|shrink|struggle,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|shrink|746,v2|head|causative|overlay_subject_check_s00_box|bad|struggle|204,shrink,struggle,3.7300000190734863,4.619999885559082,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will shrink the rope.","During the check, the box will struggle the rope.","During the check, the box will shrink","During the check, the box will struggle",7,7,-49.68806076049805,-53.89002990722656,4.201969146728516,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|11|crash|reply,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|crash|733,v2|head|causative|overlay_subject_check_s00_box|bad|reply|200,crash,reply,4.550000190734863,4.5,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will crash the rope.","During the check, the box will reply the rope.","During the check, the box will crash","During the check, the box will reply",7,7,-51.404319763183594,-55.58213806152344,4.177818298339844,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|12|benefit|testify,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|benefit|727,v2|head|causative|overlay_subject_check_s00_box|bad|testify|205,benefit,testify,4.820000171661377,3.8399999141693115,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will benefit the rope.","During the check, the box will testify the rope.","During the check, the box will benefit","During the check, the box will testify",7,7,-53.53766632080078,-59.941585540771484,6.403919219970703,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|13|dry|lie,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|dry|736,v2|head|causative|overlay_subject_check_s00_box|bad|lie|198,dry,lie,4.739999771118164,4.840000152587891,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will dry the rope.","During the check, the box will lie the rope.","During the check, the box will dry","During the check, the box will lie",7,7,-49.58306884765625,-53.33856201171875,3.7554931640625,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|14|shut|disagree,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|shut|747,v2|head|causative|overlay_subject_check_s00_box|bad|disagree|193,shut,disagree,4.78000020980835,4.090000152587891,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will shut the rope.","During the check, the box will disagree the rope.","During the check, the box will shut","During the check, the box will disagree",7,7,-49.66477966308594,-57.35356903076172,7.688789367675781,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|15|drop|smile,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|drop|735,v2|head|causative|overlay_subject_check_s00_box|bad|smile|203,drop,smile,4.989999771118164,4.639999866485596,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will drop the rope.","During the check, the box will smile the rope.","During the check, the box will drop","During the check, the box will smile",7,7,-46.923973083496094,-54.8394775390625,7.915504455566406,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|16|slow|react,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|slow|748,v2|head|causative|overlay_subject_check_s00_box|bad|react|199,slow,react,4.849999904632568,4.159999847412109,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will slow the rope.","During the check, the box will react the rope.","During the check, the box will slow","During the check, the box will react",7,7,-50.188880920410156,-52.66169357299805,2.4728126525878906,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|17|dim|arrive,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|dim|734,v2|head|causative|overlay_subject_check_s00_box|bad|arrive|185,dim,arrive,3.619999885559082,4.380000114440918,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will dim the rope.","During the check, the box will arrive the rope.","During the check, the box will dim","During the check, the box will arrive",7,7,-50.316078186035156,-53.45763397216797,3.1415557861328125,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|18|move|vanish,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|move|742,v2|head|causative|overlay_subject_check_s00_box|bad|vanish|206,move,vanish,5.349999904632568,3.7200000286102295,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will move the rope.","During the check, the box will vanish the rope.","During the check, the box will move","During the check, the box will vanish",7,7,-46.14710998535156,-52.00296401977539,5.855854034423828,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|19|stop|appear,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|stop|750,v2|head|causative|overlay_subject_check_s00_box|bad|appear|184,stop,appear,4.400000095367432,4.849999904632568,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will stop the rope.","During the check, the box will appear the rope.","During the check, the box will stop","During the check, the box will appear",7,7,-48.427940368652344,-50.11646270751953,1.6885223388671875,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|20|turn|compete,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|turn|753,v2|head|causative|overlay_subject_check_s00_box|bad|compete|188,turn,compete,5.320000171661377,4.389999866485596,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will turn the rope.","During the check, the box will compete the rope.","During the check, the box will turn","During the check, the box will compete",7,7,-47.44521713256836,-54.190589904785156,6.745372772216797,1
head|causative|object_frame_overlay_subject_check_s00|overlay_subject_check_s00_box|21|freeze|cough,head,causative,object_frame_overlay_subject_check_s00,overlay_subject_check_s00_box,box,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s00_box|good|freeze|739,v2|head|causative|overlay_subject_check_s00_box|bad|cough|190,freeze,cough,4.110000133514404,3.950000047683716,head,head,freqblimp_curated,freqblimp_curated, the rope.,rope,"During the check, the box will freeze the rope.","During the check, the box will cough the rope.","During the check, the box will freeze","During the check, the box will cough",7,7,-47.88249969482422,-51.43878173828125,3.5562820434570312,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|0|open|appear,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|open|776,v2|head|causative|overlay_subject_check_s01_rope|bad|appear|207,open,appear,5.480000019073486,4.849999904632568,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will open the plate.","During the check, the rope will appear the plate.","During the check, the rope will open","During the check, the rope will appear",7,7,-46.76420211791992,-51.24644088745117,4.48223876953125,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|1|twist|laugh,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|twist|787,v2|head|causative|overlay_subject_check_s01_rope|bad|laugh|220,twist,laugh,4.21999979019165,4.659999847412109,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will twist the plate.","During the check, the rope will laugh the plate.","During the check, the rope will twist","During the check, the rope will laugh",7,7,-46.848392486572266,-57.947242736816406,11.09885025024414,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|2|crack|exist,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|crack|765,v2|head|causative|overlay_subject_check_s01_rope|bad|exist|218,crack,exist,4.409999847412109,4.730000019073486,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will crack the plate.","During the check, the rope will exist the plate.","During the check, the rope will crack","During the check, the rope will exist",7,7,-45.46062469482422,-56.377784729003906,10.917160034179688,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|3|stretch|testify,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|stretch|784,v2|head|causative|overlay_subject_check_s01_rope|bad|testify|228,stretch,testify,4.349999904632568,3.8399999141693115,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will stretch the plate.","During the check, the rope will testify the plate.","During the check, the rope will stretch","During the check, the rope will testify",7,7,-46.99766540527344,-55.648773193359375,8.651107788085938,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|4|benefit|vanish,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|benefit|760,v2|head|causative|overlay_subject_check_s01_rope|bad|vanish|229,benefit,vanish,4.820000171661377,3.7200000286102295,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will benefit the plate.","During the check, the rope will vanish the plate.","During the check, the rope will benefit","During the check, the rope will vanish",7,7,-54.179443359375,-53.653785705566406,-0.5256576538085938,0
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|5|stop|struggle,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|stop|783,v2|head|causative|overlay_subject_check_s01_rope|bad|struggle|227,stop,struggle,4.400000095367432,4.619999885559082,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will stop the plate.","During the check, the rope will struggle the plate.","During the check, the rope will stop","During the check, the rope will struggle",7,7,-45.57249450683594,-54.16584014892578,8.593345642089844,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|6|change|complain,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|change|762,v2|head|causative|overlay_subject_check_s01_rope|bad|complain|212,change,complain,4.760000228881836,4.230000019073486,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will change the plate.","During the check, the rope will complain the plate.","During the check, the rope will change","During the check, the rope will complain",7,7,-49.06333923339844,-57.385520935058594,8.322181701660156,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|7|grow|cough,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|grow|773,v2|head|causative|overlay_subject_check_s01_rope|bad|cough|213,grow,cough,4.900000095367432,3.950000047683716,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will grow the plate.","During the check, the rope will cough the plate.","During the check, the rope will grow","During the check, the rope will cough",7,7,-53.15171432495117,-54.87590789794922,1.7241935729980469,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|8|slow|compete,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|slow|781,v2|head|causative|overlay_subject_check_s01_rope|bad|compete|211,slow,compete,4.849999904632568,4.389999866485596,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will slow the plate.","During the check, the rope will compete the plate.","During the check, the rope will slow","During the check, the rope will compete",7,7,-48.94668197631836,-55.277496337890625,6.330814361572266,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|9|dim|smile,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|dim|767,v2|head|causative|overlay_subject_check_s01_rope|bad|smile|226,dim,smile,3.619999885559082,4.639999866485596,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will dim the plate.","During the check, the rope will smile the plate.","During the check, the rope will dim","During the check, the rope will smile",7,7,-51.07658004760742,-55.272621154785156,4.196041107177734,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|10|move|respond,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|move|775,v2|head|causative|overlay_subject_check_s01_rope|bad|respond|224,move,respond,5.349999904632568,4.53000020980835,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will move the plate.","During the check, the rope will respond the plate.","During the check, the rope will move","During the check, the rope will respond",7,7,-44.28689956665039,-53.25756072998047,8.970661163330078,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|11|warp|arrive,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|warp|788,v2|head|causative|overlay_subject_check_s01_rope|bad|arrive|208,warp,arrive,3.630000114440918,4.380000114440918,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will warp the plate.","During the check, the rope will arrive the plate.","During the check, the rope will warp","During the check, the rope will arrive",7,7,-48.61137771606445,-53.045433044433594,4.434055328369141,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|12|shrink|disagree,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|shrink|779,v2|head|causative|overlay_subject_check_s01_rope|bad|disagree|216,shrink,disagree,3.7300000190734863,4.090000152587891,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will shrink the plate.","During the check, the rope will disagree the plate.","During the check, the rope will shrink","During the check, the rope will disagree",7,7,-48.666908264160156,-58.6335334777832,9.966625213623047,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|13|burn|scream,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|burn|761,v2|head|causative|overlay_subject_check_s01_rope|bad|scream|225,burn,scream,4.53000020980835,4.139999866485596,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will burn the plate.","During the check, the rope will scream the plate.","During the check, the rope will burn","During the check, the rope will scream",7,7,-47.060035705566406,-56.24998474121094,9.189949035644531,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|14|awaken|boast,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|awaken|758,v2|head|causative|overlay_subject_check_s01_rope|bad|boast|209,awaken,boast,3.7200000286102295,3.509999990463257,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will awaken the plate.","During the check, the rope will boast the plate.","During the check, the rope will awaken","During the check, the rope will boast",7,7,-51.890220642089844,-53.66401672363281,1.7737960815429688,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|15|bake|cry,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|bake|759,v2|head|causative|overlay_subject_check_s01_rope|bad|cry|214,bake,cry,3.9100000858306885,4.590000152587891,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will bake the plate.","During the check, the rope will cry the plate.","During the check, the rope will bake","During the check, the rope will cry",7,7,-51.741844177246094,-57.46576690673828,5.7239227294921875,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|16|fold|lie,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|fold|771,v2|head|causative|overlay_subject_check_s01_rope|bad|lie|221,fold,lie,4.079999923706055,4.840000152587891,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will fold the plate.","During the check, the rope will lie the plate.","During the check, the rope will fold","During the check, the rope will lie",7,7,-49.38155746459961,-52.05611038208008,2.6745529174804688,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|17|turn|chat,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|turn|786,v2|head|causative|overlay_subject_check_s01_rope|bad|chat|210,turn,chat,5.320000171661377,4.570000171661377,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will turn the plate.","During the check, the rope will chat the plate.","During the check, the rope will turn","During the check, the rope will chat",7,7,-46.79928970336914,-55.11532974243164,8.3160400390625,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|18|chip|reply,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|chip|763,v2|head|causative|overlay_subject_check_s01_rope|bad|reply|223,chip,reply,4.309999942779541,4.5,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will chip the plate.","During the check, the rope will reply the plate.","During the check, the rope will chip","During the check, the rope will reply",7,7,-49.92192077636719,-55.73753356933594,5.81561279296875,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|19|soak|react,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|soak|782,v2|head|causative|overlay_subject_check_s01_rope|bad|react|222,soak,react,3.609999895095825,4.159999847412109,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will soak the plate.","During the check, the rope will react the plate.","During the check, the rope will soak","During the check, the rope will react",7,7,-50.53697204589844,-51.04234313964844,0.50537109375,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|20|worry|disappear,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|worry|789,v2|head|causative|overlay_subject_check_s01_rope|bad|disappear|217,worry,disappear,4.840000152587891,4.090000152587891,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will worry the plate.","During the check, the rope will disappear the plate.","During the check, the rope will worry","During the check, the rope will disappear",7,7,-48.890071868896484,-50.80815887451172,1.9180870056152344,1
head|causative|object_frame_overlay_subject_check_s01|overlay_subject_check_s01_rope|21|drop|die,head,causative,object_frame_overlay_subject_check_s01,overlay_subject_check_s01_rope,rope,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s01_rope|good|drop|768,v2|head|causative|overlay_subject_check_s01_rope|bad|die|215,drop,die,4.989999771118164,5.070000171661377,head,head,freqblimp_curated,freqblimp_curated, the plate.,plate,"During the check, the rope will drop the plate.","During the check, the rope will die the plate.","During the check, the rope will drop","During the check, the rope will die",7,7,-45.876441955566406,-55.61784744262695,9.741405487060547,1
head|causative|object_frame_overlay_subject_check_s02|overlay_subject_check_s02_shirt|0|fade|respond,head,causative,object_frame_overlay_subject_check_s02,overlay_subject_check_s02_shirt,shirt,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s02_shirt|good|fade|803,v2|head|causative|overlay_subject_check_s02_shirt|bad|respond|247,fade,respond,3.859999895095825,4.53000020980835,head,head,freqblimp_curated,freqblimp_curated, the box.,box,"During the check, the shirt will fade the box.","During the check, the shirt will respond the box.","During the check, the shirt will fade","During the check, the shirt will respond",7,7,-50.37217330932617,-52.357913970947266,1.9857406616210938,1
head|causative|object_frame_overlay_subject_check_s02|overlay_subject_check_s02_shirt|1|freeze|chat,head,causative,object_frame_overlay_subject_check_s02,overlay_subject_check_s02_shirt,shirt,manual_inanimate_subject,v2|head|causative|overlay_subject_check_s02_shirt|good|freeze|805,v2|head|causative|overlay_subject_check_s02_shirt|bad|chat|233,freeze,chat,4.110000133514404,4.570000171661377,head,head,freqblimp_curated,freqblimp_curated, the box.,box,"During the check, the shirt will freeze the box.","During the check, the shirt will chat the box.","During the check, the shirt will freeze","During the check, the shirt will chat",7,7,-49.187896728515625,-53.52204132080078,4.334144592285156,1
